       0    -1     1
       1    -2     2
       2    -2     0
       3    -3     3
       4    -3     1
       5    -3    -1
       6    -4     4
       7    -4     2
       8    -4     0
       9    -4    -2
      10    -5     5
      11    -5     3
      12    -5     1
      13    -5    -1
      14    -5    -3
      15    -6     6
      16    -6     4
      17    -6     2
      18    -6     0
      19    -6    -2
      20    -6    -4
      21    -7     7
      22    -7     5
      23    -7     3
      24    -7     1
      25    -7    -1
      26    -7    -3
      27    -7    -5
      28    -8     8
      29    -8     6
      30    -8     4
      31    -8     2
      32    -8     0
      33    -8    -2
      34    -8    -4
      35    -8    -6
      36    -9     9
      37    -9     7
      38    -9     5
      39    -9     3
      40    -9     1
      41    -9    -1
      42    -9    -3
      43    -9    -5
      44    -9    -7
      45   -10    10
      46   -10     8
      47   -10     6
      48   -10     4
      49   -10     2
      50   -10     0
      51   -10    -2
      52   -10    -4
      53   -10    -6
      54   -10    -8
      55   -11     9
      56   -11     7
      57   -11     5
      58   -11     3
      59   -11     1
      60   -11    -1
      61   -11    -3
      62   -11    -5
      63   -11    -7
      64    -1    -1
      65    -2    -2
      66    -1    -3
      67    -3    -3
      68    -2    -4
      69    -1    -5
      70    -4    -4
      71    -3    -5
      72    -2    -6
      73    -1    -7
      74    -5    -5
      75    -4    -6
      76    -3    -7
      77    -2    -8
      78    -1    -9
      79    -6    -6
      80    -5    -7
      81    -4    -8
      82    -3    -9
      83    -2   -10
      84    -1   -11
      85    -7    -7
      86    -6    -8
      87    -5    -9
      88    -4   -10
      89    -3   -11
      90    -2   -12
      91    -1   -13
      92    -8    -8
      93    -7    -9
      94    -6   -10
      95    -5   -11
      96    -4   -12
      97    -3   -13
      98    -2   -14
      99    -1   -15
     100    -9    -9
     101    -8   -10
     102    -7   -11
     103    -6   -12
     104    -5   -13
     105    -4   -14
     106    -3   -15
     107    -2   -16
     108    -1   -17
     109   -10   -10
     110    -9   -11
     111    -8   -12
     112    -7   -13
     113    -6   -14
     114    -5   -15
     115    -4   -16
     116    -3   -17
     117    -2   -18
     118    -1   -19
     119   -10   -12
     120    -9   -13
     121    -8   -14
     122    -7   -15
     123    -6   -16
     124    -5   -17
     125    -4   -18
     126    -3   -19
     127    -2   -20
     128     0    -2
     129     0    -4
     130     1    -3
     131     0    -6
     132     1    -5
     133     2    -4
     134     0    -8
     135     1    -7
     136     2    -6
     137     3    -5
     138     0   -10
     139     1    -9
     140     2    -8
     141     3    -7
     142     4    -6
     143     0   -12
     144     1   -11
     145     2   -10
     146     3    -9
     147     4    -8
     148     5    -7
     149     0   -14
     150     1   -13
     151     2   -12
     152     3   -11
     153     4   -10
     154     5    -9
     155     6    -8
     156     0   -16
     157     1   -15
     158     2   -14
     159     3   -13
     160     4   -12
     161     5   -11
     162     6   -10
     163     7    -9
     164     0   -18
     165     1   -17
     166     2   -16
     167     3   -15
     168     4   -14
     169     5   -13
     170     6   -12
     171     7   -11
     172     8   -10
     173     0   -20
     174     1   -19
     175     2   -18
     176     3   -17
     177     4   -16
     178     5   -15
     179     6   -14
     180     7   -13
     181     8   -12
     182     9   -11
     183     2   -20
     184     3   -19
     185     4   -18
     186     5   -17
     187     6   -16
     188     7   -15
     189     8   -14
     190     9   -13
     191    10   -12
     192     1    -1
     193     2    -2
     194     2     0
     195     3    -3
     196     3    -1
     197     3     1
     198     4    -4
     199     4    -2
     200     4     0
     201     4     2
     202     5    -5
     203     5    -3
     204     5    -1
     205     5     1
     206     5     3
     207     6    -6
     208     6    -4
     209     6    -2
     210     6     0
     211     6     2
     212     6     4
     213     7    -7
     214     7    -5
     215     7    -3
     216     7    -1
     217     7     1
     218     7     3
     219     7     5
     220     8    -8
     221     8    -6
     222     8    -4
     223     8    -2
     224     8     0
     225     8     2
     226     8     4
     227     8     6
     228     9    -9
     229     9    -7
     230     9    -5
     231     9    -3
