       0     1    -1
       1     2    -2
       2     2     0
       3     3    -3
       4     3    -1
       5     4    -6
       6     4    -4
       7     4    -2
       8     4     0
       9     5    -7
      10     5    -5
      11     5    -3
      12     5    -1
      13     6    -8
      14     6    -6
      15     6    -4
      16     6    -2
      17     6     0
      18     7    -9
      19     7    -7
      20     7    -5
      21     7    -3
      22     7    -1
      23     8   -12
      24     8   -10
      25     8    -8
      26     8    -6
      27     8    -4
      28     8    -2
      29     8     0
      30     9   -13
      31     9   -11
      32     9    -9
      33     9    -7
      34     9    -5
      35     9    -3
      36     9    -1
      37    10   -14
      38    10   -12
      39    10   -10
      40    10    -8
      41    10    -6
      42    10    -4
      43    10    -2
      44    10     0
      45    11   -13
      46    11   -11
      47    11    -9
      48    11    -7
      49    11    -5
      50    11    -3
      51    11    -1
      52    11     1
      53    12   -10
      54    12    -8
      55    12    -6
      56    12    -4
      57    12    -2
      58    12     0
      59    13    -7
      60    13    -5
      61    13    -3
      62    13    -1
      63    13     1
      64     1    -3
      65     1    -5
      66     2    -4
      67     1    -7
      68     2    -6
      69     3    -5
      70     1    -9
      71     2    -8
      72     3    -7
      73     1   -11
      74     2   -10
      75     3    -9
      76     4    -8
      77     1   -13
      78     2   -12
      79     3   -11
      80     4   -10
      81     5    -9
      82     1   -15
      83     2   -14
      84     3   -13
      85     4   -12
      86     5   -11
      87     6   -10
      88     1   -17
      89     2   -16
      90     3   -15
      91     4   -14
      92     5   -13
      93     6   -12
      94     7   -11
      95     1   -19
      96     2   -18
      97     3   -17
      98     4   -16
      99     5   -15
     100     6   -14
     101     7   -13
     102     1   -21
     103     2   -20
     104     3   -19
     105     4   -18
     106     5   -17
     107     6   -16
     108     7   -15
     109     8   -14
     110     1   -23
     111     2   -22
     112     3   -21
     113     4   -20
     114     5   -19
     115     6   -18
     116     7   -17
     117     8   -16
     118     9   -15
     119     3   -23
     120     4   -22
     121     5   -21
     122     6   -20
     123     7   -19
     124     8   -18
     125     9   -17
     126    10   -16
     127     0    -2
     128     0    -4
     129    -1    -5
     130     0    -6
     131    -2    -6
     132    -1    -7
     133     0    -8
     134    -3    -7
     135    -2    -8
     136    -1    -9
     137     0   -10
     138    -3    -9
     139    -2   -10
     140    -1   -11
     141     0   -12
     142    -4   -10
     143    -3   -11
     144    -2   -12
     145    -1   -13
     146     0   -14
     147    -5   -11
     148    -4   -12
     149    -3   -13
     150    -2   -14
     151    -1   -15
     152     0   -16
     153    -6   -12
     154    -5   -13
     155    -4   -14
     156    -3   -15
     157    -2   -16
     158    -1   -17
     159     0   -18
     160    -7   -13
     161    -6   -14
     162    -5   -15
     163    -4   -16
     164    -3   -17
     165    -2   -18
     166    -1   -19
     167     0   -20
     168    -7   -15
     169    -6   -16
     170    -5   -17
     171    -4   -18
     172    -3   -19
     173    -2   -20
     174    -1   -21
     175     0   -22
     176    -8   -16
     177    -7   -17
     178    -6   -18
     179    -5   -19
     180    -4   -20
     181    -3   -21
     182    -2   -22
     183    -1   -23
     184    -9   -17
     185    -8   -18
     186    -7   -19
     187    -6   -20
     188    -5   -21
     189    -4   -22
     190    -3   -23
     191    -1    -1
     192    -1    -3
     193    -2    -2
     194    -2    -4
     195    -3    -1
     196    -3    -3
     197    -3    -5
     198    -4    -2
     199    -4    -4
     200    -4    -6
     201    -4    -8
     202    -5    -1
     203    -5    -3
     204    -5    -5
     205    -5    -7
     206    -5    -9
     207    -6    -2
     208    -6    -4
     209    -6    -6
     210    -6    -8
     211    -6   -10
     212    -7    -1
     213    -7    -3
     214    -7    -5
     215    -7    -7
     216    -7    -9
     217    -7   -11
     218    -8    -2
     219    -8    -4
     220    -8    -6
     221    -8    -8
     222    -8   -10
     223    -8   -12
     224    -8   -14
     225    -9    -1
     226    -9    -3
     227    -9    -5
     228    -9    -7
     229    -9    -9
